text
There is a rumor put out by the Democrats that Josh Hawley of Missouri left the Arena last night early. It is Fake News. He met me at the plane when I arrived spoke at the great Rally &amp; stayed to the very end. In fact I said goodbye to him and left before he did. Deception!
Melania and I were treated very nicely yesterday in Pittsburgh. The Office of the President was shown great respect on a very sad &amp; solemn day. We were treated so warmly. Small protest was not seen by us staged far away. The Fake News stories were just the opposite-Disgraceful! https://t.co/9B9HgCF1G9
Melania and I were treated very nicely yesterday in Pittsburgh. The Office of the President was shown great respect on a very sad and solemn day. We were treaty so warmly. Small protest was not seen by us staged far away. The Fake News stories were just the opposite-Disgraceful!
Check out tweets from last two days. I refer to Fake News Media when mentioning Enemy of the People - but dishonest reporters use only the word “Media.” The people of our Great Country are angry and disillusioned at receiving so much Fake News. They get it and fully understand!
CNN and others in the Fake News Business keep purposely and inaccurately reporting that I said the “Media is the Enemy of the People.” Wrong! I said that the “Fake News (Media) is the Enemy of the People” a very big difference. When you give out false information - not good!
....of Anger and Outrage and we will then be able to bring all sides together in Peace and Harmony. Fake News Must End!
There is great anger in our Country caused in part by inaccurate and even fraudulent reporting of the news. The Fake News Media the true Enemy of the People must stop the open &amp; obvious hostility &amp; report the news accurately &amp; fairly. That will do much to put out the flame...
The Fake News is doing everything in their power to blame Republicans Conservatives and me for the division and hatred that has been going on for so long in our Country. Actually it is their Fake &amp; Dishonest reporting which is causing problems far greater than they understand!
The New York Times has a new Fake Story that now the Russians and Chinese (glad they finally added China) are listening to all of my calls on cellphones. Except that I rarely use a cellphone &amp; when I do it’s government authorized. I like Hard Lines. Just more made up Fake News!
A very big part of the Anger we see today in our society is caused by the purposely false and inaccurate reporting of the Mainstream Media that I refer to as Fake News. It has gotten so bad and hateful that it is beyond description. Mainstream Media must clean up its act FAST!
The Fake News Media has been talking about recent approval ratings of me by countries around the world including the European Union as being very low....
Facebook has just stated that they are setting up a system to “purge” themselves of Fake News. Does that mean CNN will finally be put out of business?
Secretary of State Mike Pompeo was never given or shown a Transcript or Video of the Saudi Consulate event. FAKE NEWS!
AP headline was very different from my quote and meaning in the story. They just can’t help themselves. FAKE NEWS!
For the record I have no financial interests in Saudi Arabia (or Russia for that matter). Any suggestion that I have is just more FAKE NEWS (of which there is plenty)!
Despite so many positive events and victories Media Reseach Center reports that 92% of stories on Donald Trump are negative on ABC CBS and ABC. It is FAKE NEWS! Don’t worry the Failing New York Times didn’t even put the Brett Kavanaugh victory on the Front Page yesterday-A17!
The crowd in front of the U.S. Supreme Court is tiny looks like about 200 people (&amp; most are onlookers) - that wouldn’t even fill the first couple of rows of our Kansas Rally or any of our Rallies for that matter! The Fake News Media tries to make it look sooo big &amp; it’s not!
Watch @MariaBartiromo at 6:00 P.M. on @FoxBusiness. Russian Hoax the big topic! Mainstream Media often referred to as the Fake News Media hates to discuss the real facts!
When President Obama said that he has been to “57 States” very little mention in Fake News Media. Can you imagine if I said that...story of the year! @IngrahamAngle
RT @LouDobbs: #FakeNews- The Hurricane Maria death tolls have been inflated &amp; President @realDonaldTrump was right to call out organization…
The Deep State and the Left and their vehicle the Fake News Media are going Crazy - &amp; they don’t know what to do. The Economy is booming like never before Jobs are at Historic Highs soon TWO Supreme Court Justices &amp; maybe Declassification to find Additional Corruption. Wow!
NBC FAKE NEWS which is under intense scrutiny over their killing the Harvey Weinstein story is now fumbling around making excuses for their probably highly unethical conduct. I have long criticized NBC and their journalistic standards-worse than even CNN. Look at their license?
RT @realDonaldTrump: .@Rasmussen_Poll just came out at 48% approval rate despite the constant and intense Fake News. Higher than Election D…
.@Rasmussen_Poll just came out at 48% approval rate despite the constant and intense Fake News. Higher than Election Day and higher than President Obama. Rasmussen was one of the most accurate Election Day polls!
I am very excited about the person who will be taking the place of Don McGahn as White House Counsel! I liked Don but he was NOT responsible for me not firing Bob Mueller or Jeff Sessions. So much Fake Reporting and Fake News!
I am very excited about the person who will be taking the place of Don McGahn as White House Councel! I liked Don but he was NOT responsible for me not firing Bob Mueller or Jeff Sessions. So much Fake Reporting and Fake News!
Ivanka Trump &amp; Jared Kushner had NOTHING to do with the so called “pushing out” of Don McGahn.The Fake News Media has it purposelyso wrong! They love to portray chaos in the White House when they know that chaos doesn’t exist-just a “smooth running machine” with changing parts!
“Lanny Davis admits being anonymous source in CNN Report.” @BretBaier  Oh well so much for CNN saying it wasn’t Lanny. No wonder their ratings are so low it’s FAKE NEWS!
CNN is being torn apart from within based on their being caught in a major lie and refusing to admit the mistake. Sloppy @carlbernstein a man who lives in the past and thinks like a degenerate fool making up story after story is being laughed at all over the country! Fake News
“Anonymous Sources are really starting to BURN the media.” @FoxNews The fact is that many anonymous sources don’t even exist. They are fiction made up by the Fake News reporters. Look at the lie that Fake CNN is now in. They got caught red handed! Enemy of the People!
Google search results for “Trump News” shows only the viewing/reporting of Fake News Media. In other words they have it RIGGED for me &amp; others so that almost all stories &amp; news is BAD. Fake CNN is prominent. Republican/Conservative &amp; Fair Media is shut out. Illegal? 96% of....
The Fake News Media worked hard to get Tiger Woods to say something that he didn’t want to say. Tiger wouldn’t play the game - he is very smart. More importantly he is playing great golf again!
Over 90% approval rating for your all time favorite (I hope) President within the Republican Party and 52% overall. This despite all of the made up stories by the Fake News Media trying endlessly to make me look as bad and evil as possible. Look at the real villains please!
Michaels Cohen’s attorney clarified the record saying his client does not know if President Trump knew about the Trump Tower meeting (out of which came nothing!). The answer is that I did NOT know about the meeting. Just another phony story by the Fake News Media!
Social Media Giants are silencing millions of people. Can’t do this even if it means we must continue to hear Fake News like CNN whose ratings have suffered gravely. People have to figure out what is real and what is not without censorship!
Fake News of which there is soooo much (this time the very tired New Yorker) falsely reported that I was going to take the extraordinary step of denying Intelligence Briefings to President Obama. Never discussed or thought of!
Some members of the media are very Angry at the Fake Story in the New York Times. They actually called to complain and apologize - a big step forward. From the day I announced the Times has been Fake News and with their disgusting new Board Member it will only get worse!
